member_id,book_id,Percentage_Comp,reading_time_date
8371AD34-0F27-4324-8CA1-3F60BEEC9260,120100337,100,2/11/2017 4:52
8DA9F700-461A-4213-8048-A9C51B290B5B,120100337,100,2/10/2017 18:56
9AF29DFC-4854-4D4B-97BE-8FA8C850C793,120100337,98.3,2/10/2017 17:25
8371AD34-0F27-4324-8CA1-3F60BEEC9260,120100338,100,2/11/2017 9:42
8DA9F700-461A-4213-8048-A9C51B290B5B,120100338,100,2/10/2017 19:33
9AF29DFC-4854-4D4B-97BE-8FA8C850C793,120100338,3.4,2/10/2017 17:43
8DA9F700-461A-4213-8048-A9C51B290B5B,120100339,100,2/10/2017 20:19
9AF29DFC-4854-4D4B-97BE-8FA8C850C793,120100339,3.1,2/10/2017 19:12
8DA9F700-461A-4213-8048-A9C51B290B5B,120100340,100,2/11/2017 1:12
9AF29DFC-4854-4D4B-97BE-8FA8C850C793,120100340,95.9,2/11/2017 17:37
B9B98E1F-2701-4B40-A933-CF1A92BFBF30,120100522,100,2/13/2017 18:35
BBE30FF6-C341-48D2-A41B-27D9EF1F0235,120200369,100,2/10/2017 20:27
BBE30FF6-C341-48D2-A41B-27D9EF1F0235,120200370,100,2/11/2017 11:51
114302F3-DDBE-4D06-B2BF-B020D0A6FDA0,120200371,88.351,2/13/2017 7:06
BBE30FF6-C341-48D2-A41B-27D9EF1F0235,120200371,100,2/12/2017 22:57
BBE30FF6-C341-48D2-A41B-27D9EF1F0235,120200372,100,2/13/2017 11:20
BBE30FF6-C341-48D2-A41B-27D9EF1F0235,120200373,100,2/13/2017 13:23
BBE30FF6-C341-48D2-A41B-27D9EF1F0235,120200374,47,2/13/2017 18:19
BBE30FF6-C341-48D2-A41B-27D9EF1F0235,120200375,100,2/14/2017 12:17
BBE30FF6-C341-48D2-A41B-27D9EF1F0235,120200376,7,2/14/2017 12:25
BBE30FF6-C341-48D2-A41B-27D9EF1F0235,120200377,100,2/15/2017 8:38
A08F5550-D8F0-44E3-99E3-2D6048357001,120200416,99.2,2/10/2017 11:46
57F7EB68-5CDD-41FE-8D64-F4D8FA89ED4F,120202435,68,2/14/2017 20:04
7834F137-C452-4B1A-AAC8-21EB98AC7359,120202603,91,2/15/2017 2:05
F86F3495-4EFF-490A-90F4-02458DE5EEDF,120203092,100,2/12/2017 1:46
065C9D77-CE2A-4E94-A127-EF0EF026B329,120300066,100,2/10/2017 23:44
065C9D77-CE2A-4E94-A127-EF0EF026B329,120300067,100,2/13/2017 13:16
79E794D5-E8A8-4372-8FE5-5D2B1F701706,120300068,100,2/11/2017 12:18
